13001300,08:33,scraped
13001334,08:33,estimated
13001335,08:34,estimated
13001209,08:35,estimated
13001210,08:35,estimated
13001211,08:36,estimated
13001222,08:37,scraped
13001223,08:38,estimated
13001207,08:39,estimated
10000900,08:41,estimated
10000901,08:42,scraped
10000875,08:42,estimated
10000865,08:44,scraped
10000863,08:45,scraped
10000835,08:46,estimated
90000145,08:48,estimated
90000075,08:49,scraped
90000075,08:51,scraped
90000348,08:55,estimated
90000260,08:56,estimated
90000261,08:57,estimated
90000421,08:58,scraped
90000306,08:58,estimated
90000559,08:59,scraped
90000308,08:59,estimated
90000504,09:00,scraped
90000356,09:02,scraped
90000357,09:02,estimated
90000358,09:02,estimated
90000359,09:03,estimated
90000360,09:03,estimated
90000361,09:04,scraped
90000362,09:04,estimated
90000363,09:05,scraped
90000364,09:05,estimated
90000740,09:06,estimated
90000439,09:07,scraped
90000440,09:08,estimated
90000754,09:08,estimated
90000367,09:09,estimated
90000366,09:10,scraped
